"AC","Acre","Norte","3000.00","69999999","69900000"
"AL","Alagoas","Nordeste","2400.00","57999999","57000000"
"AM","Amazonas","Norte","3500.00","69899999","69000000"
"AP","Amapá","Norte","3000.00","68999999","68900000"
"BA","Bahia","Nordeste","1900.00","48999999","40000000"
"CE","Ceará","Nordeste","2500.00","63999999","60000000"
"DF","Distrito Federal","Centro Oeste","260.00","73699999","70000000"
"ES","Espírito Santo","Sudeste","1600.00","29999999","29000000"
"GO","Goiás","Centro Oeste","700.00","76799999","72800000"
"MA","Maranhão","Nordeste","2300.00","65999999","65000000"
"MG","Minas Gerais","Sudeste","1500.00","39999999","30000000"
"MS","Mato Grosso do Sul","Centro Oeste","1200.00","79999999","79000000"
"MT","Mato Grosso","Centro Oeste","1600.00","78899999","78000000"
"NI","Não Informado","N.I.","6000.00","0","0"
"PA","Pará","Norte","2200.00","68899999","66000000"
"PB","Paraíba","Nordeste","2600.00","58999999","58000000"
"PE","Pernambuco","Nordeste","2700.00","56999999","50000000"
"PI","Piauí","Nordeste","2100.00","64999999","64000000"
"PR","Paraná","Sul","1400.00","87999999","80000000"
"RJ","Rio de Janeiro","Sudeste","1500.00","28999999","20000000"
"RN","Rio Grande do Norte","Nordeste","2900.00","59999999","59000000"
"RO","Rondônia","Norte","2500.00","76999999","76800000"
"RR","Roraima","Norte","4500.00","69399999","69300000"
"RS","Rio Grande do Sul","Sul","2500.00","99999999","90000000"
"SC","Santa Catarina","Sul","1800.00","89999999","88000000"
"SE","Sergipe","Nordeste","2000.00","49999999","49000000"
"SP","São Paulo","Sudeste","1200.00","19999999","01000000"
"TO","Tocantins","Norte","1300.00","77999999","77000000"
